,remove,baseline,new_rmse,delta
0,id,4.598720935658507,4.750667123999216,0.15194618834070894
1,item_id,4.598720935658507,4.60087793541096,0.0021569997524526485
2,dept_id,4.598720935658507,4.598860105306879,0.00013916964837168422
3,cat_id,4.598720935658507,4.598720935658507,0.0
4,store_id,4.598720935658507,4.598720935658507,0.0
5,state_id,4.598720935658507,4.598720935658507,0.0
6,d,4.598720935658507,4.598720935658507,0.0
7,sold,4.598720935658507,4.598720935658507,0.0
8,wm_yr_wk,4.598720935658507,4.598720935658507,0.0
9,weekday,4.598720935658507,4.607551861804428,0.008830926145920515
10,wday,4.598720935658507,4.763018897300788,0.16429796164228083
11,month,4.598720935658507,4.598720776555139,-1.5910336870206265e-07
12,year,4.598720935658507,4.598720935658507,0.0
13,event_name_1,4.598720935658507,4.598720935658507,0.0
14,event_type_1,4.598720935658507,4.598720935658507,0.0
15,event_name_2,4.598720935658507,4.598720935658507,0.0
16,event_type_2,4.598720935658507,4.598720935658507,0.0
17,snap_CA,4.598720935658507,4.602628713268523,0.003907777610015373
18,snap_TX,4.598720935658507,4.600360857696954,0.0016399220384464286
19,snap_WI,4.598720935658507,4.62731095612828,0.02859002046977288
20,sell_price,4.598720935658507,4.738111561725441,0.13939062606693398
21,sold_lag_1,4.598720935658507,8.857479546630191,4.258758610971684
22,sold_lag_2,4.598720935658507,5.354747614839909,0.7560266791814021
23,sold_lag_3,4.598720935658507,4.615004636061135,0.016283700402627943
24,sold_lag_7,4.598720935658507,4.66993917429029,0.07121823863178278
25,sold_lag_14,4.598720935658507,4.616781633468819,0.018060697810311943
26,sold_lag_28,4.598720935658507,4.626388582189438,0.027667646530931123
27,iteam_sold_avg,4.598720935658507,5.55035804021178,0.9516371045532726
28,state_sold_avg,4.598720935658507,4.598720935658507,0.0
29,store_sold_avg,4.598720935658507,4.598720935658507,0.0
30,cat_sold_avg,4.598720935658507,4.598720935658507,0.0
31,dept_sold_avg,4.598720935658507,4.599346157299892,0.0006252216413846767
32,cat_dept_sold_avg,4.598720935658507,4.600277030589659,0.0015560949311517192
33,store_item_sold_avg,4.598720935658507,14.040141348855746,9.441420413197239
34,cat_item_sold_avg,4.598720935658507,4.855756854059376,0.25703591840086837
35,dept_item_sold_avg,4.598720935658507,4.603498938863024,0.004778003204516601
36,state_store_sold_avg,4.598720935658507,4.598720935658507,0.0
37,state_store_cat_sold_avg,4.598720935658507,4.598720935658507,0.0
38,store_cat_dept_sold_avg,4.598720935658507,4.598720935658507,0.0
39,rolling_sold_mean,4.598720935658507,4.80707579576881,0.2083548601103029
40,rolling_sold_mean_3,4.598720935658507,8.226268565377037,3.6275476297185296
41,rolling_sold_mean_7,4.598720935658507,4.601301485319474,0.002580549660966547
42,rolling_sold_mean_14,4.598720935658507,4.736938386771428,0.1382174511129204
43,rolling_sold_mean_21,4.598720935658507,4.712518143428526,0.1137972077700189
44,rolling_sold_mean_28,4.598720935658507,4.682798711973806,0.08407777631529889
45,rolling_lag_7_win_7,4.598720935658507,4.673190628812523,0.07446969315401564
46,rolling_lag_7_win_28,4.598720935658507,4.665736855865103,0.06701592020659586
47,rolling_lag_28_win_7,4.598720935658507,4.642881038063478,0.04416010240497048
48,rolling_lag_28_win_28,4.598720935658507,4.678146068544593,0.07942513288608577
49,selling_trend,4.598720935658507,25.388834293825802,20.790113358167297
50,item_selling_trend,4.598720935658507,5.220376036337868,0.6216551006793605
51,rolling_sold_max,4.598720935658507,5.60657199425741,1.0078510585989031
52,rolling_sold_max_1,4.598720935658507,313.71813541829556,309.11941448263707
53,rolling_sold_max_2,4.598720935658507,39.00482659617452,34.40610566051601
54,rolling_sold_max_7,4.598720935658507,4.788921516671857,0.19020058101334936
55,stock_out_id,4.598720935658507,4.598720935658507,0.0
56,store_closed,4.598720935658507,4.598720935658507,0.0
57,delta_price_all_rel,4.598720935658507,4.614353291535139,0.015632355876631365
58,delta_price_weekn-1,4.598720935658507,4.598720935658507,0.0
59,delta_price_cat_rel,4.598720935658507,4.600149855649222,0.0014289199907144834
